City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
213,Labuhan,100,ID,overcast clouds,2022-02-10 02:35:42,73,-6.8844,112.2051,82.99,9.26
214,Nagato,100,JP,overcast clouds,2022-02-10 02:35:42,89,34.3833,131.2,48.15,15.17
215,Clyde River,100,CA,light snow,2022-02-10 02:28:53,77,70.4692,-68.5914,-12.77,32.21
216,Katsuura,100,JP,moderate rain,2022-02-10 02:35:43,78,35.1333,140.3,42.82,17.67
217,Tame,100,CO,overcast clouds,2022-02-10 02:35:43,81,6.461,-71.73,73.33,4.92
218,Kimbe,50,PG,light rain,2022-02-10 02:35:44,65,-5.5502,150.1429,87.37,7.31
219,Eyl,21,SO,few clouds,2022-02-10 02:35:44,75,7.9803,49.8164,70.45,14.27
220,Kaspiyskiy,100,RU,overcast clouds,2022-02-10 02:35:45,92,45.3929,47.3707,38.68,14.9
221,Yarkovo,10,RU,clear sky,2022-02-10 02:35:45,97,57.4028,67.0786,-3.55,6.85
222,Nouakchott,9,MR,clear sky,2022-02-10 02:35:46,24,18.0858,-15.9785,70.72,14.36
223,Yellowknife,100,CA,light snow,2022-02-10 02:32:02,87,62.456,-114.3525,-6.59,14.97
224,Ilo,21,PE,few clouds,2022-02-10 02:35:46,78,-17.6394,-71.3375,68.5,4.34
225,Chokurdakh,100,RU,overcast clouds,2022-02-10 02:35:47,98,70.6333,147.9167,-18.8,11.99
226,Kanniyakumari,100,IN,overcast clouds,2022-02-10 02:35:47,67,8.0833,77.5667,76.89,18.79
227,Geraldton,0,AU,clear sky,2022-02-10 02:35:48,22,-28.7667,114.6,91.81,5.75
228,Laguna,0,US,clear sky,2022-02-10 02:35:48,65,38.421,-121.4238,66.49,4.61
229,Lagoa,0,PT,clear sky,2022-02-10 02:35:49,68,39.05,-27.9833,58.48,16.37
230,Lebu,42,CL,scattered clouds,2022-02-10 02:35:49,86,-37.6167,-73.65,59.76,20.69
231,Maun,12,BW,few clouds,2022-02-10 02:35:50,60,-19.9833,23.4167,68.16,1.83
232,Klaksvik,100,FO,overcast clouds,2022-02-10 02:27:24,61,62.2266,-6.589,32.92,20.42
233,Shitkino,75,RU,broken clouds,2022-02-10 02:35:50,97,56.3703,98.3543,-17.1,1.3
234,Pisco,75,PE,broken clouds,2022-02-10 02:36:51,78,-13.7,-76.2167,72.01,3.44
235,Porto Novo,1,BJ,clear sky,2022-02-10 02:36:51,90,6.4965,2.6036,82.22,4.99
236,Jiayuguan,96,CN,overcast clouds,2022-02-10 02:36:52,41,39.8167,98.3,24.4,3.36
237,Hohhot,2,CN,mist,2022-02-10 02:33:26,67,40.8106,111.6522,17.89,2.24
238,Oriximina,100,BR,overcast clouds,2022-02-10 02:36:52,95,-1.7656,-55.8661,74.44,0.83
239,Udachnyy,99,RU,overcast clouds,2022-02-10 02:36:53,83,66.4167,112.4,-2.56,2.95
240,Marystown,69,CA,broken clouds,2022-02-10 02:36:53,100,47.1666,-55.1483,34.86,8.99
241,Takoradi,11,GH,few clouds,2022-02-10 02:36:54,89,4.8845,-1.7554,77.56,5.01
242,Chuy,0,UY,clear sky,2022-02-10 02:36:54,78,-33.6971,-53.4616,64.92,8.12
243,Yulara,40,AU,scattered clouds,2022-02-10 02:36:55,25,-25.2406,130.9889,91.24,13.8
244,Kloulklubed,100,PW,overcast clouds,2022-02-10 02:28:43,80,7.0419,134.2556,82.9,10.94
245,Tual,100,ID,overcast clouds,2022-02-10 02:36:56,87,-5.6667,132.75,79.11,18.12
246,Faanui,87,PF,light rain,2022-02-10 02:36:56,75,-16.4833,-151.75,81.36,13.15
247,Zhigansk,85,RU,overcast clouds,2022-02-10 02:36:57,97,66.7697,123.3711,-30.42,8.77
248,Talnakh,100,RU,overcast clouds,2022-02-10 02:36:57,98,69.4865,88.3972,-5.8,10.58
249,Saint-Francois,0,FR,clear sky,2022-02-10 02:36:58,92,46.4154,3.9054,34.41,2.3
250,La Orilla,0,MX,clear sky,2022-02-10 02:36:58,70,17.9833,-102.2333,72.64,4.76
251,Takhtamygda,87,RU,overcast clouds,2022-02-10 02:36:59,67,54.1,123.5667,5.22,3.51
252,Margate,100,GB,overcast clouds,2022-02-10 02:36:19,89,51.3813,1.3862,48.88,3.0
253,Lensk,100,RU,overcast clouds,2022-02-10 02:36:59,91,60.7253,114.9278,-7.6,5.46
254,Hithadhoo,33,MV,scattered clouds,2022-02-10 02:37:00,73,-0.6,73.0833,81.88,11.18
255,La Union,100,PE,overcast clouds,2022-02-10 02:37:01,61,-5.4,-80.75,74.37,11.21
256,Markova,85,UA,overcast clouds,2022-02-10 02:37:01,93,48.6758,24.4138,37.0,3.58
257,Awbari,4,LY,clear sky,2022-02-10 02:37:02,64,26.5921,12.7805,43.72,10.16
258,Tuim,41,RU,scattered clouds,2022-02-10 02:37:02,94,54.3417,89.9261,-13.68,2.33
259,Sur,2,OM,clear sky,2022-02-10 02:37:02,63,22.5667,59.5289,67.01,2.28
260,Fortuna,0,US,clear sky,2022-02-10 02:37:03,75,40.5982,-124.1573,58.86,0.0
261,Talavera,19,PH,few clouds,2022-02-10 02:37:03,47,15.6167,120.9333,87.49,6.33
262,Kruisfontein,0,ZA,clear sky,2022-02-10 02:37:04,72,-34.0033,24.7314,61.41,5.79
263,Tuatapere,32,NZ,scattered clouds,2022-02-10 02:37:04,55,-46.1333,167.6833,75.81,5.08
264,Shimoda,100,JP,moderate rain,2022-02-10 02:37:05,95,34.6667,138.95,41.36,22.1
265,Pevek,99,RU,overcast clouds,2022-02-10 02:37:05,99,69.7008,170.3133,-30.96,4.81
266,Treuchtlingen,14,DE,few clouds,2022-02-10 02:37:05,84,48.95,10.9167,36.01,4.56
267,Sorland,84,NO,light rain,2022-02-10 02:37:06,75,67.667,12.6934,40.57,32.17
268,Grindavik,0,IS,clear sky,2022-02-10 02:33:55,79,63.8424,-22.4338,19.87,2.3
269,Srandakan,99,ID,moderate rain,2022-02-10 02:37:06,71,-7.9386,110.2506,82.87,12.62
270,Byron Bay,0,AU,clear sky,2022-02-10 02:37:07,51,-28.65,153.6167,84.31,9.66
271,Seoul,0,KR,clear sky,2022-02-10 02:34:43,37,37.5683,126.9778,43.21,3.44
272,Erenhot,44,CN,scattered clouds,2022-02-10 02:37:08,70,43.6475,111.9767,13.21,9.95
273,San Juan,96,AR,overcast clouds,2022-02-10 02:32:23,26,-31.5375,-68.5364,86.04,16.84
274,Kamaishi,100,JP,light snow,2022-02-10 02:37:08,87,39.2667,141.8833,29.35,6.46
275,Petropavlovsk-Kamchatskiy,75,RU,broken clouds,2022-02-10 02:37:09,64,53.0452,158.6483,27.19,0.0
276,Vizinga,100,RU,overcast clouds,2022-02-10 02:37:09,95,61.0749,50.1031,20.46,7.02
277,Popondetta,45,PG,scattered clouds,2022-02-10 02:37:10,67,-8.7537,148.2534,86.79,4.83
278,Manokwari,99,ID,overcast clouds,2022-02-10 02:37:10,78,-0.8667,134.0833,79.84,4.54
279,Lovozero,100,RU,overcast clouds,2022-02-10 02:37:10,93,68.005,35.0117,17.96,8.3
280,Beatrice,0,US,clear sky,2022-02-10 02:37:11,44,40.2681,-96.747,43.45,0.0
281,Taraz,6,KZ,clear sky,2022-02-10 02:37:11,79,42.9,71.3667,21.61,6.71
282,Peace River,100,CA,overcast clouds,2022-02-10 02:38:12,70,56.2501,-117.286,46.71,27.63
283,Mount Gambier,100,AU,overcast clouds,2022-02-10 02:38:12,40,-37.8333,140.7667,69.71,11.5
284,Merauke,83,ID,broken clouds,2022-02-10 02:38:13,72,-8.4667,140.3333,84.81,5.48
285,Altona,100,DE,overcast clouds,2022-02-10 02:38:13,97,53.55,9.9333,43.47,5.75
286,Dossor,100,KZ,overcast clouds,2022-02-10 02:38:14,85,47.5272,52.9811,29.52,19.86
287,Nokaneng,28,BW,scattered clouds,2022-02-10 02:38:14,71,-19.6667,22.2667,69.91,3.0
288,Suez,81,EG,broken clouds,2022-02-10 02:38:15,48,29.9737,32.5263,53.46,12.88
289,Togur,94,RU,overcast clouds,2022-02-10 02:38:16,99,58.3631,82.8265,-18.04,4.07
