City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Soyo,AO,75.69,overcast clouds,-6.1349,12.3689,Hotel Mpampa
434,Beira,MZ,73.36,clear sky,-19.8436,34.8389,Beira Terrace Hotel
437,Tulagi,SB,82.96,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
438,Ballina,AU,84.38,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
439,Luganville,VU,85.24,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
445,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
448,Port-Gentil,GA,81.09,overcast clouds,-0.7193,8.7815,Fengshui Residence
450,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
451,Bassar,TG,71.26,clear sky,9.25,0.7833,Hôtel KYRIAD
452,Sabang,ID,81.66,overcast clouds,5.8933,95.3214,Hotel Citra
454,Colon,PA,78.82,few clouds,9.3592,-79.9014,Sand Diamond Hotel
455,Toamasina,MG,78.8,broken clouds,-18.1667,49.3833,Hotel H1
464,Saint-Paul,RE,75.31,broken clouds,-21.0096,55.2707,Boucan Canot
466,Meulaboh,ID,75.67,light rain,4.1363,96.1285,Kost Pria
469,Grand Gaube,MU,74.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
470,Kandi,BJ,71.56,scattered clouds,11.1342,2.9386,Baric Motel De Kandi
472,Caravelas,BR,75.92,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
475,Saint-Georges,GD,74.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
476,Omboue,GA,78.46,overcast clouds,-1.5746,9.2618,Hotel Olako
479,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
485,Camacari,BR,83.97,clear sky,-12.6975,-38.3242,Hotel Cambuci
487,Voh,NC,80.28,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
488,Sungaipenuh,ID,72.36,overcast clouds,-2.0833,101.3833,penginapan citra alam
490,Kawalu,ID,74.66,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
491,Puerto El Triunfo,SV,81.52,broken clouds,13.2833,-88.55,Hotel Jardin
494,Uarini,BR,73.17,overcast clouds,-2.99,-65.1083,
497,Thinadhoo,MV,81.63,scattered clouds,0.5333,72.9333,
499,Blama,SL,71.11,clear sky,7.8736,-11.3433,Beanageh Small Bo Chiefdom
502,Redlands,US,76.68,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
513,Gua Musang,MY,77.86,overcast clouds,4.8823,101.9644,Mines Inn Hotel
514,Port Macquarie,AU,88.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
519,Vaitape,PF,81.34,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
522,Pagudpud,PH,84.16,clear sky,18.5616,120.7868,Saud Beach Resort and Hotel - 2
527,Nioro,GM,73.89,scattered clouds,13.35,-15.75,
529,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
532,Sambava,MG,75.51,overcast clouds,-14.2667,50.1667,Melrose
533,Siquijor,PH,79.86,overcast clouds,9.2142,123.515,Cecilia's Guesthouse
535,Komatipoort,ZA,72.05,clear sky,-25.4332,31.9548,Kruger View Backpackers
536,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
540,Palu,ID,84.2,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
541,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
543,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
554,Yeppoon,AU,87.58,clear sky,-23.1333,150.7333,Villa Mar Colina
555,Santa Cruz De La Palma,ES,71.74,clear sky,28.6835,-17.7642,H10 Taburiente Playa
559,Hervey Bay,AU,87.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
561,Alyangula,AU,89.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
